business,website,city,dated_clue,contact_name,email,status,sent_date,reply,package,notes
Walker Solicitors,https://www.walkersolicitors.com/,Walsall,Walsall solicitors - relatively current,,info@walkersolicitors.com,researched,,,,Wave 4 backlog
BES Legal,https://beslegal.co.uk/,Great Barr / Birmingham,Great Barr solicitors est.1925 - relatively current,,enquiries@beslegal.co.uk,researched,,,,Wave 4 backlog
JP Property Services,https://jp-propertyservices.co.uk/,Birmingham,Birmingham multi-trade - review later,,sales@jp-propertyservices.co.uk,researched,,,,Wave 4 backlog
Fraser Wood,https://fraser-wood.co.uk/,Walsall,Walsall estate agents since 1845 - relatively current,,residential@fraser-wood.co.uk,researched,,,,Wave 4 backlog
Bury Fabrications,https://buryfabrications.co.uk/,Bury / Greater Manchester,Copyright 2007 still on homepage; Fax still listed on table-layout stainless fabricator site,,chayhoe@buryfabrications.co.uk,draft,2026-08-24,,,Wave 5 draft
The Steel Workshop,https://www.thesteelworkshop.co.uk/,Garston / Liverpool,Copyright 2008 + Fax + Web Design by Koogar on thin steel fabricator homepage,,info@thesteelworkshop.co.uk,draft,2026-08-24,,,Wave 5 draft
Steel Engineers and Fabricators,https://www.steelengineers.co.uk/,Fallowfield / Manchester,Lorem ipsum still under Our Service; casino spam posts in Latest News,,info@steelengineers.co.uk,draft,2026-08-24,,,Wave 5 draft
Inox Fabrications,https://www.inoxfabrications.com/,North West / Manchester area,Sample Case Study block still shows Lorem ipsum dolor sit amet for stainless fabricator,,info@inoxfabrications.com,draft,2026-08-24,,,Wave 5 draft
J T Sawyer & Co,https://www.sawyersboxes.co.uk/,Stockport,Fax still listed; Piccadily and liase typos; IONOS MyWebsite template for est.1849 boxmaker,,web@sawyersboxes.co.uk,draft,2026-08-24,,,Wave 5 draft
Troughton Air Conditioning,https://troughton-aircon.co.uk/contact.html,Urmston / Manchester,Live contact.html still says all rights reserved to My Company - 2002 and lists Fax,,info@troughton-aircon.co.uk,draft,2026-08-24,,,Wave 5 draft
DNL Steel Fabrications,https://dnlsteelfabrications.co.uk/,Liverpool,exiciting / regulataions / buidling / noked typos on project copy,,info@dnlsteelfabrications.co.uk,draft,2026-08-24,,,Wave 5 draft
Platinum Contracts,https://www.platinumcontracts.com/,Bolton,Copyright 2012; Fax still on contact; Preswich / lightning / upmost typos on OPUS2 page,,Info@platinumcontracts.com,draft,2026-08-24,,,Wave 5 draft
MP+H Packaging,https://mphpackaging.com/,Stockport / Greater Manchester,unparralelled typo on medical packaging manufacturer homepage,,hello@mphpackaging.com,draft,2026-08-24,,,Wave 5 draft
Lodge Sheetmetal,https://www.lodgesheetmetal.com/,North West,INSTALLATION/ MAINTAINANCE misspelled in main services nav for est.1985 fabricator,,Info@lodgesheetmetal.co.uk,draft,2026-08-24,,,Wave 5 draft
One Offs Limited,https://www.oneoffslimited.co.uk/,Liverpool,Coronation Park Railings teaser truncated to Des on homepage,,info@oneoffslimited.co.uk,researched,,,,Wave 5 backlog
D&M Windows & Doors,https://dandmwindowsanddoors.co.uk/,Oldham,Copyright 2012 + Created by Web Designer Morgan Feeney still in footer,,sales@dandmwindowsanddoors.co.uk,researched,,,,Wave 5 backlog
Rybro Construction,https://www.rybroconstruction.co.uk/,Moston / Manchester,Lorem ipsum under Why Choose Us; copyright 2014; no public email found,,,researched,,,,Wave 5 backlog - email unclear
P&G Packaging,https://www.pgpackaging.co.uk/,Warrington,Thin brochure site; Web Design by PT Designs credit for filling/capping firm,,info@pgpackaging.co.uk,researched,,,,Wave 5 backlog
J.E.M Sheet Metal,https://www.jem-sheetmetal.co.uk/,Stockport,hibu brochure site for fabricators since 1976 - review quote path,,info@jemsheet.com,researched,,,,Wave 5 backlog
Bradtek Electrical,https://www.bradtekec.co.uk/,Stockport,Industrial electrical - relatively thin pages; review later,,info@bradtek.co.uk,researched,,,,Wave 5 backlog
Moorside Joinery,https://www.moorsidejoinery.co.uk/,Greater Manchester,Joinery manufacturer - review later,,Daniel@moorsidejoinery.co.uk,researched,,,,Wave 5 backlog
Manchester Paper Box,https://manchesterpaperbox.co.uk/,Stockport / Wigan,Family packaging since 1964 - site relatively current,,info@mpbox.co.uk,researched,,,,Wave 5 backlog
Nuttall Packaging,https://nuttall-packaging.co.uk/,Manchester,Corrugated manufacturer since 1920 - relatively current,,enquiry@nuttall-packaging.co.uk,researched,,,,Wave 5 backlog
Kirbys Roofing,https://kirbysroofing.co.uk/,Widnes / Warrington,Family roofers since 1970 - relatively current,,enquiries@kirbysroofing.co.uk,researched,,,,Wave 5 backlog
Gallagher Roofing,https://www.gallagherroofing.co.uk/,Altrincham,Family roofers since 1969 - relatively current,,mail@gallagherroofing.co.uk,researched,,,,Wave 5 backlog
The Print Room,https://www.theprintroom.co.uk/,Bolton,Commercial printers since 2002 - relatively current,,info@theprintroom.co.uk,researched,,,,Wave 5 backlog
OEI Oldham Engineering Installations,https://oei.co.uk/,Oldham,Conveyor installers since 1992 - review later,,sales@oei.co.uk,researched,,,,Wave 5 backlog
TBE Precision Sheet Metal,https://precisionsheetmetal.co.uk/,North West,Family sheet metal since 1970 - relatively current,,sales@t-b-e.co.uk,researched,,,,Wave 5 backlog
Wayland Sheet Metal,https://www.waylandsheetmetal.co.uk/,Bury / Rochdale area,Sheet metal fabricators - relatively current,,sales@waylandsheetmetal.co.uk,researched,,,,Wave 5 backlog
Allen Fabrications,https://allenfabrications.co.uk/,South Kirkby / Yorkshire,"Contact page still publishes Office: Lorem Ipsum, XX, 12345",,sales@allenfabrications.co.uk,draft,2026-08-26,,,Wave 7 draft
A & J Metal Fabrications,https://ajmetalfabrications.co.uk/,Leeds,Lorem ipsum dolor sit amet still mid-homepage for family fabricators,,enquiries@ajmetalfabrications.co.uk,draft,2026-08-26,,,Wave 7 draft
RAWmetalworks,https://rawmetalworks.co.uk/,Bradford,Lorem ipsum in widget; to to providing; requirments typo,,info@rawmetalworks.co.uk,draft,2026-08-26,,,Wave 7 draft
TL Joinery,https://www.woodenwindowssheffield.co.uk/,Sheffield,Lorem Ipsum testimonials still live; maintainance typo,,tljoinery@btconnect.com,draft,2026-08-26,,,Wave 7 draft
Carton Finish,https://cartonfinish.co.uk/,Batley / West Yorkshire,Lorem ipsum still published; facilties and oversees typos,,Info@cartonfinish.co.uk,draft,2026-08-26,,,Wave 7 draft
GMC Fabrication Services,https://gmcfabservices.co.uk/,Pontefract / West Yorkshire,Copyright 2014; live Fax on contact page,,info@gmcfabservices.co.uk,draft,2026-08-26,,,Wave 7 draft
Hanson Fabrications,https://hansonfabrications.co.uk/,Yorkshire,Copyright 2014 still on thin early-2010s brochure site,,dave@hansonfabrications.co.uk,draft,2026-08-26,,,Wave 7 draft
DT Fabs,https://www.designtechfabrications.co.uk/,Cleckheaton / Bradford,Copyright 2018 DT Fabs Ltd still in footer,,sales@dtfabs.co.uk,draft,2026-08-26,,,Wave 7 draft
EPS Huddersfield,https://www.epshuddersfield.co.uk/,Huddersfield,Copyright 2015 still in meta and footer for NICEIC firm,,info@epshuddersfield.co.uk,draft,2026-08-26,,,Wave 7 draft
Mercury Print and Packaging,https://www.mercury-print.co.uk/,Leeds,F: 0113 279 0310 still listed; Tahoma / clearfloat HTML; copyright 2018,,sales@mercury-print.co.uk,draft,2026-08-26,,,Wave 7 draft
Bradford Welding and Sheet Metal,https://www.bwsm.co.uk/,Bradford,Est.1901 Xara-style site; fax still on location.htm,,ja@bwsm.co.uk,researched,,,,Wave 7 backlog
Hart & Clough,https://hartandclough.co.uk/,Cleckheaton / West Yorkshire,Yorksire typo in packaging printing page title,,info@hartandclough.co.uk,researched,,,,Wave 7 backlog
Pro-Fab,https://pro-fab.co.uk/,Pudsey / Leeds,Copyright 2020 Ginger Design credit still in footer,,ben@pro-fab.co.uk,researched,,,,Wave 7 backlog
Laird Electrical,https://lairdelectrical.co.uk/,Leeds,Gallery alt text still says project photos coming soon,,wayne@lairdelectrical.co.uk,researched,,,,Wave 7 backlog
B Fletcher Fabrications,https://b-fletcherfabrications.co.uk/,Bradford,COVID still open for business / government guidelines copy still live,,info@b-fletcherfabrications.co.uk,researched,,,,Wave 7 backlog
Barden & Hall,https://www.bardenandhallltd.co.uk/,Sheffield,Thin Duda-style site for est.1954 building contractors,,bardenandhall@outlook.com,researched,,,,Wave 7 backlog
P J Projects,https://www.fabricationsheffield.com/,Sheffield,Thin brochure site for 60yr sheet metal fabricators,,pjprojectsfabs@gmail.com,researched,,,,Wave 7 backlog
JSJ Structures,https://steelfabricatorsleeds.co.uk/,Leeds,Structural steel since 1997 - relatively current,,info@steelfabricatorsleeds.co.uk,researched,,,,Wave 7 backlog
Garnett Fabrications,https://www.garnettfabrications.co.uk/,Leeds,Family steel fabricators - relatively current,,info@garnettfabrications.co.uk,researched,,,,Wave 7 backlog
Wm Spence,https://wmspence.co.uk/,Bradford,Sheet metal since 1973 - relatively current,,enquiries@wmspence.co.uk,researched,,,,Wave 7 backlog
DJM Sheet Metal,https://djmsheetmetal.co.uk/,Leeds,Ducting / stainless fabricators - review later,,djmsheetmetal@gmail.com,researched,,,,Wave 7 backlog
PC Fabrications,https://www.pcfabrication.co.uk/,Leeds,Laser cutting and fabrication - relatively current,,info@pcfabrication.com,researched,,,,Wave 7 backlog
MK Steelworks,https://www.mksteelworks.co.uk/,Wakefield,Steel fabricators - relatively current,,sales@mksteelworks.co.uk,researched,,,,Wave 7 backlog
Yorkshire Profiles,https://www.yorkshireprofiles.co.uk/,Yorkshire,Profiles / fabrication - relatively current,,sales@yorkshireprofiles.co.uk,researched,,,,Wave 7 backlog
C&S Fabs,https://www.csfabs.co.uk/,Sheffield,Sheet metal fabricators 35yr - relatively current,,info@csfabs.co.uk,researched,,,,Wave 7 backlog
Fabwell Engineering,http://www.fabwelleng.co.uk/,Wrexham,Homepage still says Fabweb Enginering coveres; 20 Years claim despite est.1979; live Fax,,sales@fabwelleng.co.uk,draft,,,,Wave 8 Wales
Ron Bentley & Sons,https://www.bentleyprinters.co.uk/,Wrexham,Copyright 2009 still in footer; live Fax on contact; webpost@ email,,webpost@bentleyprinters.co.uk,draft,,,,Wave 8 Wales
Carston ETL,https://www.cardiffaccountants.co.uk/,Cardiff,Footer / cookies block still ends with Lorem ipsum dolor sit amet,,cardiff@carstonetl.com,draft,,,,Wave 8 Wales
M.E.T. Fabrications,https://www.metfabrications.co.uk/,Maesteg / Bridgend,Copyright 2011-2019; live Fax; Ballustrading typo on homepage,,info@metfabrications.co.uk,draft,,,,Wave 8 Wales
Eventus Engineering,https://www.eventusengineering.co.uk/,Wrexham,Footer still shows Copyright 2035 by Penh,,alice@eventusengineering.co.uk,draft,,,,Wave 8 Wales
Merit Engineering,https://www.meritengineering.co.uk/,Swansea,Hero still spells fabrication as FABIRCATION,,info@meritengineering.co.uk,draft,,,,Wave 8 Wales
Bruce Roberts & Co,https://bruceroberts.co.uk/,Wrexham,Chartered Accounts typo; Making Tax Digital from April 2019 still as current headline; effect/affect,,info@bruceroberts.co.uk,draft,,,,Wave 8 Wales
Carbis Construction Group,https://www.carbis-constructiongroup.co.uk/,South Wales,Homepage still shows FREEE QUOTATIONS,,ashleycarbis@outlook.com,draft,,,,Wave 8 Wales
Metal Fabrication Co. (Cardiff),https://metal-fab.co.uk/,Cardiff,Copyright 2018 still in footer for 60yr+ fabricator,,sales@metal-fab.co.uk,draft,,,,Wave 8 Wales
Cardiff Bay Print,https://www.cardiffprint.co.uk/,Cardiff,Copyright 2018 by Cardiff Bay Print still on Wix footer,,sales@cardiffbayprint.co.uk,draft,,,,Wave 8 Wales
Roberts Electrical NW,https://robertselectricalnw.co.uk/,Rhyl / North Wales,Contact page still says This page is under construction,,info@robertselectricalnw.co.uk,researched,,,,Wave 8 backlog
Bone & Payne,https://www.boneandpayne.co.uk/,Llandudno / Colwyn Bay,Contact still lists Fax (not for service) on both offices,,enquiries@boneandpayne.co.uk,researched,,,,Wave 8 backlog
Spicketts Battrick / SB Lawyers,https://www.spickettsbattrick.co.uk/,Cardiff / Pontypridd,Contact still publishes live Fax lines,,help@sblawyers.co.uk,researched,,,,Wave 8 backlog
W. O. Jones Printers,https://wojones.co.uk/,Llangefni / Anglesey,Copyright 2019 still in footer for 100yr printer,,info@wojprint.co.uk,researched,,,,Wave 8 backlog
G-Fab Welding and Fabrication,https://g-fabweldingandfabrication.co.uk/,Aberdare,Enquiry still via hotmail.co.uk for commercial fabricator,,g-fabwelding@hotmail.co.uk,researched,,,,Wave 8 backlog
Print Metal Fabrication,https://www.printmet.co.uk/,Sully / Cardiff,60yr steel fabricators - relatively current,,info@printmet.co.uk,researched,,,,Wave 8 backlog
Lloyds Fabrications,https://lloydsfabrications.co.uk/,Cardiff area,Steel fabricators - relatively current,,gareth@lloydsfabrications.co.uk,researched,,,,Wave 8 backlog
Alar Engineering,https://alar.co.uk/,Cardiff,Precision sheet metal since 1981 - relatively current,,info@alar.co.uk,researched,,,,Wave 8 backlog
Dragon Engineering,https://dragoneng.co.uk/,Swansea,20k sq ft fabrication - relatively current,,info@dragoneng.co.uk,researched,,,,Wave 8 backlog
Blue Sky Metal Fabrication,https://www.blueskymetalfab.com/,Swansea,Sheet metal / powder coating - relatively current,,sales@blueskymetalfab.com,researched,,,,Wave 8 backlog
Swelco,http://www.swelco.co.uk/,Ammanford / Capel Hendre,Laser bend fabricate division of Altron - relatively current,,swelco@altron.co.uk,researched,,,,Wave 8 backlog
Derwen Joinery,https://derwenjoinery.co.uk/,Wrexham,Bespoke joinery - relatively current,,info@derwenjoinery.co.uk,researched,,,,Wave 8 backlog
RMD Accountancy,https://www.rmdaccountancy.co.uk/,Wrexham,Accountancy / bookkeeping - relatively current,,enquiries@rmdaccountancy.co.uk,researched,,,,Wave 8 backlog
DRH Fabrications,https://drhfabrications.co.uk/,Wrexham,Family fabrications - relatively current,,enquiries@drhfabrications.co.uk,researched,,,,Wave 8 backlog
Engineering Fabrication Limited,https://eflcardiff.co.uk/,Cardiff,Structural steel / EFL - relatively current,,info@eflcardiff.co.uk,researched,,,,Wave 8 backlog
Cheviot Printers,https://cheviotprinters.co.uk/,Newcastle,Homepage still shows French Actualités récentes plus Polish casino / frumzi copy,,info@cheviotprinters.co.uk,draft,,,,Wave 9 North East
Bay Plastics,https://www.bayplastics.co.uk/,North Shields,/contact still throws ASP.NET Server Error with live stack trace,,sales@bayplastics.co.uk,draft,,,,Wave 9 North East
Excalibur Fabrications,http://www.excaliburfabrications.co.uk/,Washington / Sunderland,Copyright 2015; contact still says and or pop in an see us,,info@excaliburfabrications.co.uk,draft,,,,Wave 9 North East
Oneida Plastics,https://oneidaplastics.com/,Seaton Delaval / North Tyneside,Hero still says Exxflow Sytems; contact email misspelled onediaplastics,,info@onediaplastics.co.uk,draft,,,,Wave 9 North East
Impress Group,https://impressltd.co.uk/,Blaydon / Tyne & Wear,+001 234 7890 still next to Request for quote; live Fax in footer,,sales@impressltd.co.uk,draft,,,,Wave 9 North East
Metal Fabrication Systems,http://www.metalfabricationsystems.co.uk/,Hobson / Newcastle,Copyright 2018 still on thin early brochure site,,Enquiries@MetalFabricationSystems.co.uk,draft,,,,Wave 9 North East
Consett Print Services,https://consettprint.co.uk/,Consett / Durham,Copyright 2018; contact address still renders Business Park< Consett,,consettprintservices@outlook.com,draft,,,,Wave 9 North East
Forman Metal Products,https://www.formanmetalproducts.co.uk/,Stockton / Middlesbrough,Enquiry still via btconnect.com; Yell link in top bar,,poverton@btconnect.com,draft,,,,Wave 9 North East
Vaux Fletcher Solicitors,https://vauxfletcher.co.uk/,Middlesbrough,Footer still publishes live Fax F 01642 217 354,,enquiries@vauxfletcher.co.uk,draft,,,,Wave 9 North East
Dacon Fabrications,https://www.daconfab.co.uk/,Gateshead / Team Valley,Live site still loads html5shiv and IE8 CSS (HTML5 UP theme),,sales@daconfab.co.uk,draft,,,,Wave 9 North East
HQ Fabrication,https://www.hqfabrication.co.uk/,South Shields,Thin brochure site for South Shields fabricator,,info@hqfab.co.uk,researched,,,,Wave 9 backlog
CB Construction (Cleveland),https://cbconstructioncleveland.co.uk/,Middlesbrough,Footer still shows COPYRIGHT 2012 - 2026,,enquiries@cbcon-cleveland.co.uk,researched,,,,Wave 9 backlog
Regal Print,https://www.regalprint.co.uk/,Peterlee / Durham,Peterlee printers since 1984 - relatively current Wix,,marco@regalprint.co.uk,researched,,,,Wave 9 backlog
